Mean: 0	Var: 0	Max: 0	Min: 0
Mean: -44.26	Var: 84.9125	Max: -20	Min: -64
Mean: -43.38	Var: 77.4355	Max: -20	Min: -62
Mean: -42.94	Var: 70.5765	Max: -20	Min: -61
Mean: -43.04	Var: 72.7583	Max: -20	Min: -58
Mean: -42.14	Var: 69.0005	Max: -20	Min: -64
Mean: -42.84	Var: 73.0144	Max: -20	Min: -61
Mean: -42.9	Var: 78.6098	Max: -20	Min: -63
Mean: -43.06	Var: 73.8963	Max: -20	Min: -61
Mean: -43.86	Var: 72.9203	Max: -20	Min: -61
Mean: -43.2	Var: 69.5199	Max: -20	Min: -63
Mean: -43.78	Var: 70.7718	Max: -20	Min: -58
Mean: -42.52	Var: 68.9296	Max: -20	Min: -61
Mean: -43.36	Var: 86.4304	Max: -20	Min: -62
Mean: -43.06	Var: 72.0163	Max: -20	Min: -63
Mean: -43.26	Var: 66.2325	Max: -20	Min: -58
Mean: -43.34	Var: 75.2644	Max: -20	Min: -61
Mean: -43.54	Var: 74.0883	Max: -20	Min: -65
Mean: -44.02	Var: 68.1795	Max: -20	Min: -58
Mean: -43.96	Var: 83.7584	Max: -20	Min: -71
Mean: -43.9	Var: 80.2499	Max: -20	Min: -62
Mean: -43.74	Var: 76.8323	Max: -20	Min: -69
Mean: -43.22	Var: 62.4115	Max: -20	Min: -57
Mean: -42.9	Var: 76.4898	Max: -20	Min: -59
Mean: -43.18	Var: 88.6275	Max: -20	Min: -69
Mean: -42.38	Var: 59.4755	Max: -20	Min: -56
Mean: -43.44	Var: 74.4066	Max: -20	Min: -60
Mean: -43.22	Var: 81.6515	Max: -20	Min: -62
Mean: -42.68	Var: 57.3776	Max: -20	Min: -57
Mean: -42.98	Var: 84.4596	Max: -20	Min: -61
Mean: -42.78	Var: 91.2117	Max: -20	Min: -63
Mean: -43.78	Var: 101.972	Max: -20	Min: -63
Mean: -44.24	Var: 93.9023	Max: -20	Min: -67
Mean: -43.62	Var: 80.9957	Max: -20	Min: -61
Mean: -44.6	Var: 95.7601	Max: -20	Min: -66
Mean: -44.16	Var: 73.6544	Max: -20	Min: -59
Mean: -44.28	Var: 75.4417	Max: -20	Min: -67
Mean: -44.78	Var: 75.8517	Max: -20	Min: -61
Mean: -43.88	Var: 61.3855	Max: -20	Min: -61
Mean: -44.78	Var: 76.7717	Max: -20	Min: -62
Mean: -44.78	Var: 71.5717	Max: -20	Min: -61
Mean: -45.38	Var: 80.3955	Max: -20	Min: -62
Mean: -44.9	Var: 76.6099	Max: -20	Min: -62
Mean: -44.28	Var: 70.0817	Max: -20	Min: -63
Mean: -45.28	Var: 90.2017	Max: -20	Min: -68
Mean: -43.52	Var: 59.4895	Max: -20	Min: -59
Mean: -44.52	Var: 75.4096	Max: -20	Min: -62
Mean: -44.06	Var: 66.6563	Max: -20	Min: -61
Mean: -44.2	Var: 73.88	Max: -20	Min: -61
Mean: -43.68	Var: 67.7376	Max: -20	Min: -58
Mean: -43.84	Var: 64.4544	Max: -20	Min: -58
Mean: -42.44	Var: 52.9266	Max: -20	Min: -55
Mean: -42.46	Var: 68.5284	Max: -20	Min: -56
Mean: -41.94	Var: 72.5765	Max: -20	Min: -65
Mean: -42.54	Var: 76.6883	Max: -20	Min: -61
Mean: -42.1	Var: 72.0501	Max: -20	Min: -55
Mean: -43.46	Var: 97.4085	Max: -20	Min: -67
Mean: -43.7	Var: 82.6499	Max: -20	Min: -62
Mean: -44.04	Var: 69.0783	Max: -20	Min: -60
Mean: -44.44	Var: 72.6465	Max: -20	Min: -63
Mean: -44.48	Var: 66.0497	Max: -20	Min: -61
Mean: -43.76	Var: 51.8625	Max: -20	Min: -59
Mean: -44.68	Var: 63.5376	Max: -20	Min: -61
Mean: -44.82	Var: 63.8276	Max: -20	Min: -63
Mean: -44.22	Var: 69.2116	Max: -20	Min: -64
Mean: -44.58	Var: 77.4034	Max: -20	Min: -62
Mean: -44.98	Var: 95.5797	Max: -20	Min: -70
Mean: -45.2	Var: 76.32	Max: -20	Min: -61
Mean: -44.54	Var: 80.6884	Max: -20	Min: -63
Mean: -44.58	Var: 75.9634	Max: -20	Min: -62
Mean: -43.68	Var: 64.7376	Max: -20	Min: -61
